,prediction
0,24.309326382886397
1,25.734023845169176
2,21.931295991771417
3,11.100061131864312
4,21.577969190235923
5,20.8191982422355
6,20.895754121786176
7,20.65338602577833
8,20.670374459283174
9,19.453715301529872
10,8.637317088843522
11,14.606762189631267
12,15.134049260303525
13,8.883314923104155
14,47.90627619047619
15,33.729349872069776
16,20.968339695551908
17,34.83772924720278
18,25.697337583385025
19,21.09354380935006
20,23.809019935136984
21,21.26208655637475
22,20.286376316030665
23,24.470354080814033
24,21.093803034486953
25,18.379878943428913
26,19.3136718443727
27,16.53787309172999
28,42.21284827598873
29,19.105740810130147
30,15.579563346021734
31,17.352330119922577
32,20.929073939712325
33,21.36019489460558
34,23.6982371235404
35,17.622807432136614
36,8.898069824771676
37,23.3872991597226
38,14.588613717304774
39,15.12587304160634
40,22.498707763849115
41,21.099126282493536
42,23.346178485679044
43,15.565846176430018
44,23.724353487706914
45,23.348471913652176
46,20.801775565977888
47,17.306879670222976
48,15.27620554122156
49,24.07508336278992
50,17.095357397652883
51,19.47779555063859
52,21.531738925399686
53,39.826987425727864
54,15.273767436012566
55,21.01400822097712
56,20.62328281519503
57,19.96808095126998
58,20.076460705441065
59,20.01247456169632
60,22.159871243758047
61,21.29513116820754
62,32.088524114235035
63,29.292209205843
64,18.579362676163246
65,27.423172885943146
66,16.409986152701528
67,20.36012200772988
68,17.077894603878825
69,21.440932135378322
70,21.229791665147037
71,22.822887299168407
72,25.551782766821862
73,30.780793795607643
74,27.651475028882537
75,8.955792447130932
76,42.10508858780109
77,22.050219036553795
78,23.446890676323605
79,20.390893786431256
80,25.966997582646364
81,18.485164164366022
82,20.44291731464334
83,41.78558754578756
84,41.07881332417583
85,23.87619231545382
86,23.29159434960319
87,15.231074967438717
88,25.59387368532806
89,16.42013300520424
90,19.512910435633167
91,11.747457307898488
92,22.56959832855529
93,30.05593997650871
94,21.75483611086687
95,21.70780083369397
96,12.034518984181414
97,23.829946402569686
98,15.131115192683358
99,19.786863856329624
100,23.137317731345288
101,20.51771858314736
